WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,2736,dominicks,18456,1,2.24,41341.44
1990-06-21,2736,dominicks,18717,1,1.9,35562.299999999996
1990-06-28,2736,dominicks,12476,1,2.25,28071.0
1990-07-05,2736,dominicks,10153,1,2.53,25687.089999999997
1990-07-12,2736,dominicks,10295,1,2.66,27384.7
1990-07-19,2736,dominicks,19115,1,2.47,47214.05
1990-07-26,2736,dominicks,12813,1,2.39,30623.070000000003
1990-08-02,2736,dominicks,9988,1,2.43,24270.84
1990-08-09,2736,dominicks,18290,1,2.65,48468.5
1990-08-16,2736,dominicks,14700,1,1.98,29106.0
1990-08-23,2736,dominicks,13328,1,2.02,26922.56
1990-08-30,2736,dominicks,15692,1,2.55,40014.6
1990-09-06,2736,dominicks,11988,1,2.53,30329.64
1990-09-13,2736,dominicks,15009,1,2.3,34520.7
1990-09-20,2736,dominicks,9080,1,1.9,17252.0
1990-09-27,2736,dominicks,19701,1,2.01,39599.009999999995
1990-10-04,2736,dominicks,12590,1,2.58,32482.2
1990-10-11,2736,dominicks,11668,1,2.16,25202.88
1990-10-18,2736,dominicks,19543,1,2.1,41040.3
1990-10-25,2736,dominicks,15832,1,2.14,33880.48
1990-11-01,2736,dominicks,10724,1,1.95,20911.8
1990-11-08,2736,dominicks,13144,1,2.26,29705.44
1990-11-15,2736,dominicks,13592,1,2.6,35339.200000000004
1990-11-22,2736,dominicks,14476,1,2.33,33729.08
1990-11-29,2736,dominicks,18671,1,2.01,37528.71
1990-12-06,2736,dominicks,19611,1,2.36,46281.96
1990-12-13,2736,dominicks,17355,1,2.19,38007.45
1990-12-20,2736,dominicks,16743,1,1.96,32816.28
1990-12-27,2736,dominicks,12281,1,1.96,24070.76
1991-01-03,2736,dominicks,11822,1,2.52,29791.44
1991-01-10,2736,dominicks,15124,1,2.07,31306.679999999997
1991-01-17,2736,dominicks,15954,1,2.24,35736.96000000001
1991-01-24,2736,dominicks,11811,1,1.92,22677.12
1991-01-31,2736,dominicks,12993,1,2.22,28844.460000000003
1991-02-07,2736,dominicks,10352,1,2.65,27432.8
1991-02-14,2736,dominicks,10806,1,2.65,28635.899999999998
1991-02-21,2736,dominicks,11202,1,2.01,22516.019999999997
1991-02-28,2736,dominicks,12209,1,2.66,32475.940000000002
1991-03-07,2736,dominicks,19787,1,2.03,40167.60999999999
1991-03-14,2736,dominicks,17605,1,2.02,35562.1
1991-03-21,2736,dominicks,10251,1,2.25,23064.75
1991-03-28,2736,dominicks,17478,1,2.32,40548.96
1991-04-04,2736,dominicks,13260,1,2.63,34873.799999999996
1991-04-11,2736,dominicks,19696,1,2.0,39392.0
1991-04-18,2736,dominicks,15117,1,1.96,29629.32
1991-04-25,2736,dominicks,9097,1,2.27,20650.19
1991-05-02,2736,dominicks,14512,1,1.92,27863.039999999997
1991-05-09,2736,dominicks,16493,1,2.35,38758.55
1991-05-16,2736,dominicks,18903,1,2.69,50849.07
1991-05-23,2736,dominicks,17329,1,2.69,46615.01
