WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1662,tropicana,11689,1,2.35,27469.15
1990-06-21,1662,tropicana,15280,1,2.6,39728.0
1990-06-28,1662,tropicana,14066,1,2.0,28132.0
1990-07-05,1662,tropicana,18105,1,2.11,38201.549999999996
1990-07-12,1662,tropicana,14282,1,1.9,27135.8
1990-07-19,1662,tropicana,16780,1,2.0,33560.0
1990-07-26,1662,tropicana,18754,1,2.32,43509.28
1990-08-02,1662,tropicana,16165,1,1.92,31036.8
1990-08-09,1662,tropicana,15759,1,2.48,39082.32
1990-08-16,1662,tropicana,9499,1,2.66,25267.34
1990-08-23,1662,tropicana,19940,1,2.06,41076.4
1990-08-30,1662,tropicana,11040,1,2.2,24288.000000000004
1990-09-06,1662,tropicana,18018,1,2.22,39999.96000000001
1990-09-13,1662,tropicana,12998,1,1.97,25606.06
1990-09-20,1662,tropicana,15542,1,1.99,30928.579999999998
1990-09-27,1662,tropicana,13850,1,2.35,32547.5
1990-10-04,1662,tropicana,16474,1,2.2,36242.8
1990-10-11,1662,tropicana,11701,1,1.93,22582.93
1990-10-18,1662,tropicana,15735,1,2.29,36033.15
1990-10-25,1662,tropicana,9872,1,2.18,21520.960000000003
1990-11-01,1662,tropicana,15646,1,1.94,30353.239999999998
1990-11-08,1662,tropicana,17127,1,2.19,37508.13
1990-11-15,1662,tropicana,9669,1,2.35,22722.15
1990-11-22,1662,tropicana,12488,1,2.11,26349.679999999997
1990-11-29,1662,tropicana,12971,1,2.0,25942.0
1990-12-06,1662,tropicana,10475,1,2.36,24721.0
1990-12-13,1662,tropicana,18429,1,2.33,42939.57
1990-12-20,1662,tropicana,18780,1,2.08,39062.4
1990-12-27,1662,tropicana,15631,1,2.02,31574.62
1991-01-03,1662,tropicana,17558,1,2.29,40207.82
1991-01-10,1662,tropicana,9556,1,2.61,24941.16
1991-01-17,1662,tropicana,13605,1,2.51,34148.549999999996
1991-01-24,1662,tropicana,16495,1,1.95,32165.25
1991-01-31,1662,tropicana,12042,1,2.26,27214.92
1991-02-07,1662,tropicana,10702,1,2.28,24400.559999999998
1991-02-14,1662,tropicana,18453,1,1.96,36167.88
1991-02-21,1662,tropicana,15617,1,2.42,37793.14
1991-02-28,1662,tropicana,17859,1,2.61,46611.99
1991-03-07,1662,tropicana,17444,1,2.01,35062.439999999995
1991-03-14,1662,tropicana,10069,1,2.31,23259.39
1991-03-21,1662,tropicana,13279,1,2.48,32931.92
1991-03-28,1662,tropicana,17828,1,2.43,43322.04
1991-04-04,1662,tropicana,18534,1,2.27,42072.18
1991-04-11,1662,tropicana,17736,1,2.11,37422.96
1991-04-18,1662,tropicana,9627,1,2.62,25222.74
1991-04-25,1662,tropicana,9739,1,2.18,21231.02
1991-05-02,1662,tropicana,17861,1,2.62,46795.82
1991-05-09,1662,tropicana,19131,1,2.18,41705.58
1991-05-16,1662,tropicana,18735,1,2.4,44964.0
1991-05-23,1662,tropicana,14756,1,2.43,35857.08
1991-05-30,1662,tropicana,16695,1,2.68,44742.600000000006
1991-06-06,1662,tropicana,16708,1,2.52,42104.16
